zip,week,localtrans,localtrans_1,localtrans_2,crosstrans,crosstrans_1,crosstrans_2,logpop,logpopdensity,logcase,logtest,logcumucaserate,black,hispanic,householdincome,bachelor,householdsize,totalvisitor,vaccoverage,age65plus
10001,1,0,0,0,0,0,0,10.04094248799,9.4993492782928,-7.82805403225383,-3.17245990556023,0.0157535,0.0658038087767464,0.163027846777357,92840,0.329454830696823,1.77,0.627175665664357,0,0.152089597768772
10002,1,0,0,1,1,1,1,11.1951552502012,10.3720022595857,-7.9335818979246,-3.40669144643444,0.0179892,0.0911689132555615,0.268683787460324,36982,0.181485909009715,2.18,0.152331093614741,0,0.232642180908804
10003,1,0,0,0,0,0,1,10.6853550656556,10.2845648679327,-8.12380066454234,-2.40117634964879,0.0115418,0.0687927523964219,0.104298689117156,118161,0.374596783418362,1.68,0.226919997254696,0,0.165061426185628
10004,1,0,0,0,0,0,0,8.11102783819368,7.73964084907243,-6.89839918405811,-2.86713151655968,0.0148043,0.042629840888622,0.032422695887121,190223,0.380966676673672,1.87,1.03005103572501,0,0.0603422395676974
10005,1,0,0,0,0,0,0,9.06992821825944,10.6934904103641,-7.1317742133323,-2.99313564770672,0.0124468,0.0108170310701956,0.0635212888377445,189702,0.378481012658228,1.99,0.187123130034522,0,0.0107019562715765
10006,1,0,0,0,0,0,0,8.03689677268507,9.47328935310561,-8.12616513110584,-3.31397802630153,0.0133065,0.032007759456838,0.108309085030715,179044,0.323310701584222,1.79,0.412544455221468,0,0.00678952473326867
10007,1,0,0,0,0,0,0,8.79785064893105,9.55758003753475,-7.46619675668979,-3.06861699418502,0.0115855,0.0921450151057402,0.130815709969789,224063,0.394259818731118,2.34,0.604969788519637,0,0.0709969788519638
10009,1,0,0,0,1,0,0,10.961746486855,10.4936290102774,-8.18072095479502,-3.02037543736697,0.0152229,0.0872334148923248,0.240633730716504,63717,0.298679438457667,1.94,0.0858712062054245,0,0.155100907560692
10010,1,1,0,0,0,0,0,10.3949468538112,10.3831971526971,-7.92996223644784,-2.73472739417033,0.0109135,0.102985257233743,0.116443384107176,132988,0.319141126812259,1.94,0.176858139108093,0,0.14745824922004
10011,1,0,0,0,1,0,0,10.7866764129052,10.2529687903308,-8.10674054179703,-2.90961145966465,0.0124432,0.0458116265608203,0.123170429173902,138272,0.359402133465641,1.66,0.151093607872323,0,0.171504175969569
10012,1,0,0,0,2,0,0,9.99611231164195,10.1736839670994,-7.27722602686693,-2.60208741684453,0.0104525,0.0284854837974568,0.0823116539811312,106467,0.366801877763092,1.8,0.293669386080853,0,0.15714871701381
10013,1,0,0,0,1,0,0,10.1997700352071,9.84178514961667,-8.88247650989157,-2.98602355604539,0.0116243,0.0407852176822694,0.0712347101907276,113191,0.312005056325984,2.24,0.388530319366472,0,0.166375432204335
10014,1,0,0,0,0,0,0,10.3072512140045,9.91862576711515,-7.68102850402137,-2.80802027135105,0.012922,0.0141240108183913,0.0707536144779458,133501,0.38929513506294,1.66,0.17873050853117,0,0.151257137133126
10016,1,0,0,0,1,0,1,10.8423613564105,10.5214916370525,-7.54206767382119,-3.04015449110674,0.0174024,0.0397911696844081,0.0843338156505416,126628,0.374447616440499,1.75,0.184967345821438,0,0.140236987212076
10017,1,0,0,0,1,0,0,9.65765095067424,9.70004814350153,-8.26955216850164,-3.17890299078264,0.010632,0.0200754427466275,0.0524902499840164,131045,0.411290838181702,1.62,0.365795025893485,0,0.194488843424333
10018,1,0,0,0,0,0,1,9.07337451690302,9.25562567617494,-7.58325902436949,-3.37363960927233,0.0232389,0.0529816513761468,0.162270642201835,122484,0.316399082568807,1.84,0.693692660550459,0,0.0732798165137615
10019,1,0,0,0,0,0,2,10.7142844265294,10.0817241184984,-8.28330754357012,-3.1266955380728,0.0164743,0.0608525581188603,0.164599724407699,103792,0.319575943459128,1.72,0.253333777837045,0,0.149753300440059
10021,1,0,0,0,0,0,0,10.6848745219455,10.6822808883229,-8.33570531537086,-3.0013178438486,0.0146919,0.00672922865644312,0.0698786907759213,122169,0.291599908445869,1.83,0.149622339208057,0,0.237880521858549
10022,1,0,0,0,0,0,1,10.324957234786,10.1702766953591,-8.72914955333988,-3.14846629065525,0.0130113,0.0153851200629839,0.0786314132003674,150718,0.347296942658444,1.7,0.26665791890828,0,0.287396667104055
10023,1,0,0,0,1,0,1,11.0149996135549,10.7756615048348,-8.46650007710072,-3.20253998425238,0.0113139,0.0478619259941756,0.112621135589595,132605,0.280721959887461,1.77,0.113452014676122,0,0.232399348459172
10024,1,0,0,0,1,0,1,10.9526644689328,10.1543328382137,-8.7779088156382,-2.87633099240786,0.0150825,0.0429376948131545,0.108867719679193,143623,0.29459251217035,2.03,0.107193639897734,0,0.209505130809372
10025,1,0,0,0,0,1,0,11.3719262574982,10.705781893496,-8.42964029440838,-2.6934227064406,0.0175944,0.122845398335041,0.250284977374524,91624,0.230250204377713,2.1,0.0955439901438128,0,0.223238033828829
10026,1,0,0,0,0,0,1,10.5310022805003,10.6809592661682,-8.26022809162652,-3.3248948906559,0.0206132,0.527803732080408,0.221095063936571,59691,0.174350623348194,2.42,0.0957713767051977,0,0.114311647401159
10027,1,0,0,0,1,0,0,10.9580434550073,10.1410383947436,-8.16688849448535,-3.09054637642483,0.0192446,0.426986449298081,0.29768000836033,51938,0.173093670533319,2.4,0.164228237015362,0,0.121242205733793
10028,1,0,0,0,0,0,1,10.750385332902,10.9565513220929,-8.36791148870048,-3.23903261487259,0.0119274,0.0153275595952667,0.0693062939461499,122969,0.322221745841194,1.89,0.11646801577774,0,0.198465100325845
10029,1,0,0,1,1,2,2,11.2024795852532,10.4431023462619,-8.08931448847117,-3.38238936647571,0.0267434,0.342345045831515,0.487560017459625,33720,0.127264295067656,2.33,0.162025316455696,0,0.144314709733741
10030,1,0,0,0,0,1,0,10.316424675483,10.6415109785585,-8.49250057882587,-3.5367284866651,0.019884,0.638842018196857,0.275334987593052,42348,0.135748552522746,2.38,0.0792820512820513,0,0.111894127377998
10031,1,0,0,0,0,0,1,10.9861398216255,10.4640514612609,-7.68995227637559,-3.50582816364038,0.0267013,0.282794242167655,0.516680779000847,53660,0.156511430990686,2.72,0.0706181202370872,0,0.117493649449619
10032,1,0,0,0,0,0,0,11.0349380499534,10.5026394300285,-8.48666398638141,-3.48642525912391,0.028818,0.194845410705934,0.682289566633873,53525,0.152331338806187,2.92,0.0899940325468122,0,0.140944792993887
10033,1,0,1,0,0,0,0,10.9592793231878,10.5109073554019,-7.48063362715114,-3.53050228989677,0.0271029,0.10500130468818,0.680612333652257,63093,0.170844568148213,2.9,0.0834826476472123,0,0.142941636948769
10034,1,1,0,0,0,0,0,10.6539834066133,9.58336463921175,-7.56014446706991,-3.62207724704774,0.0213532,0.139255447227403,0.692594603526829,54406,0.147612190458204,2.62,0.0938764429546045,0,0.141875781969264
10035,1,0,0,0,1,0,1,10.3958640326336,9.11043585737442,-8.16724079323833,-3.28834648905133,0.0329739,0.442519251925193,0.502414130301919,29799,0.130118567412297,2.25,0.222925070284806,0,0.138522185551889
10036,1,0,0,0,0,0,0,10.2359517677598,10.0748376745826,-8.01520651631745,-3.10427562684764,0.019602,0.0781339644291452,0.220847676419966,95301,0.349110728628801,1.62,0.283792312105565,0,0.124856569133678
10037,1,0,0,0,0,0,0,9.90971810228676,10.2899219790111,-8.33279046841846,-3.49350018815028,0.0288072,0.724124223602485,0.213267080745342,46263,0.157515527950311,2.1,0.124700621118012,0,0.161540372670807
10038,1,0,0,0,0,0,0,10.0018385588831,10.2622206890773,-7.47233335874737,-3.17249570538195,0.0141266,0.0985181492726696,0.123668826754883,95702,0.288077219377351,2.11,0.250391988036434,0,0.176009425839489
10039,1,0,0,0,0,0,0,10.2227772977339,10.0409858814395,-9.11140042412128,-3.74723340585402,0.0227734,0.632598190604222,0.329179231915126,42278,0.118446390291756,2.42,0.100904697889038,0,0.101115430730662
10040,1,0,1,0,0,0,0,10.6786754434323,10.7028021661685,-7.60010277937152,-3.14262336805199,0.0303641,0.101658222017503,0.70923537540304,49677,0.168793182865039,2.65,0.072491939198526,0,0.172432058959005
10044,1,0,0,0,0,0,0,9.29504909990314,9.76355305422366,-8.67151055180059,-2.90503087972491,0.02219,0.143972804116134,0.147280411613377,104808,0.204612274898934,2.28,0.0677967658948916,0,0.203142227122381
10065,1,0,0,0,0,0,0,10.2828482185582,10.2823043664725,-8.2904561045919,-2.82721387690373,0.0132978,0.0236083073870052,0.0785574982037157,148441,0.326547370581996,1.92,0,0,0.218222876107709
10069,1,0,0,0,0,0,0,8.70814407490825,10.0182109972458,-11.5129254649702,-2.89941351163056,0.0103428,0.0376734963648381,0.0378387309980172,132500,0.301057501652346,1.87,0.0874421678783873,0,0.0993060145406477
10075,1,0,0,0,0,0,0,10.0527261880024,10.7311818198193,-7.96560957517808,-2.88123641251881,0.0196577,0.0303630647314699,0.157414186657479,145488,0.29454326198372,2.06,0,0,0.275464059606357
